,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,>
a,0,1,9,13,856,1,0,3,559,0,0,17,2,7,353,2,0,15,9,16,123,0,3,0,21,0,0
b,1,0,0,41,1,2,1,0,0,0,0,1,5,2,1,31,0,3,0,2,0,9,1,0,0,0,0
c,12,1,0,3,2,3,58,5,9,0,28,8,0,8,1,11,11,3,209,65,3,2,2,16,0,2,0
d,7,37,7,0,18,1,22,1,3,7,3,4,3,16,0,3,0,11,7,106,5,5,4,0,2,1,0
e,749,11,11,13,0,2,7,12,917,0,3,5,4,15,295,3,0,12,23,35,160,0,6,0,154,0,0
f,0,2,4,2,3,0,5,1,1,0,1,6,0,4,0,4,0,7,3,4,0,39,1,0,0,0,0
g,1,0,29,24,10,1,0,1,0,30,11,1,5,0,1,1,9,3,4,15,6,0,0,7,2,1,0
h,1,0,3,0,15,2,0,0,14,1,6,2,1,17,6,7,0,6,6,14,12,0,1,0,1,0,0
i,313,0,0,2,771,1,0,15,0,1,0,11,1,4,101,0,0,4,2,16,119,0,4,1,142,0,0
j,0,0,0,4,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
k,9,0,53,4,0,0,13,32,0,0,0,3,0,0,2,3,0,0,2,23,6,0,0,2,2,0,0
l,6,16,3,16,12,3,2,1,19,2,3,0,5,9,1,2,0,21,3,34,9,2,11,0,5,0,0
m,0,5,0,6,2,2,0,0,0,0,0,0,0,140,0,5,0,3,3,6,1,1,3,4,0,0,0
n,8,4,5,26,2,3,9,1,8,0,0,15,230,85,2,1,0,23,14,20,13,1,4,1,3,1,0
o,352,0,0,1,216,0,2,3,99,0,0,4,0,1,0,0,0,3,1,8,171,0,3,0,7,0,0
p,2,46,8,1,0,12,1,3,1,0,0,1,8,0,1,0,0,6,3,10,0,0,0,0,1,0,0
q,2,0,22,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
r,15,5,6,15,27,14,5,4,15,1,1,45,11,25,1,11,0,0,14,13,26,2,9,4,6,0,0
s,13,0,383,23,12,7,3,2,6,0,0,7,3,9,1,5,0,13,0,60,5,1,4,14,5,61,0
t,8,4,64,87,21,7,6,25,15,2,12,18,5,12,0,15,1,11,38,0,6,0,3,1,6,0,0
u,126,0,1,0,162,1,1,2,133,1,0,10,3,10,130,0,0,12,10,4,0,1,44,0,10,0,0
v,0,8,3,1,0,40,2,0,3,0,0,2,1,4,0,1,0,0,0,4,1,0,3,3,1,1,0
w,2,1,0,1,8,1,0,9,1,0,2,2,2,0,5,0,0,10,4,1,52,6,0,0,1,0,0
x,0,0,15,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,8,2,0,0,0,0,1,2,0
y,2,0,3,1,49,0,2,2,125,1,0,2,1,4,10,0,0,3,7,5,10,2,3,0,0,0,0
z,0,0,5,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,49,1,0,0,0,5,0,0,0
>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
