,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,>
a,0,2,10,2,25,0,13,11,32,0,0,14,18,44,7,8,0,40,3,25,39,3,1,0,1,0,0
b,14,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
c,12,0,0,0,16,0,0,0,38,0,0,0,0,3,1,0,0,0,3,8,4,0,0,1,9,0,0
d,2,0,0,0,68,0,0,0,10,0,0,9,0,7,8,0,0,1,0,0,3,0,0,0,0,0,0
e,7,2,27,23,0,8,9,6,122,0,5,121,41,74,12,12,0,189,51,96,5,23,2,1,8,2,0
f,0,0,0,0,21,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
g,1,0,0,9,8,0,0,0,14,0,0,1,0,6,4,0,0,1,0,0,0,0,0,0,0,0,0
h,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,31,0,0,7,1,0,0,0
i,56,17,94,12,81,17,26,3,0,0,0,41,21,82,14,0,0,43,67,72,17,8,2,1,2,0,0
j,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k,6,0,1,0,1,0,0,0,0,0,0,1,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0
l,18,4,4,1,75,0,0,0,21,0,0,0,0,2,19,6,0,0,0,4,11,0,1,0,2,0,0
m,9,0,0,0,49,0,0,0,21,0,0,0,0,1,12,0,0,2,2,0,5,0,0,0,0,0,0
n,33,0,0,0,62,0,10,0,56,0,3,0,2,0,5,0,0,2,0,0,6,0,5,0,0,0,0
o,3,0,7,2,4,0,2,5,19,0,0,26,9,21,0,10,0,30,8,5,4,0,6,0,0,1,0
p,1,0,0,0,11,0,0,0,3,0,0,2,4,0,10,0,0,0,2,0,2,0,0,0,0,0,0
q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,47,0,1,2,113,0,0,0,28,0,0,0,0,0,42,2,0,0,0,6,17,0,1,0,0,0,0
s,18,0,1,0,64,0,0,0,57,0,2,4,3,4,3,4,0,5,0,23,8,0,0,0,5,0,0
t,14,0,1,0,37,1,0,32,33,0,0,4,0,5,4,0,0,2,13,0,5,0,0,1,0,0,0
u,13,0,7,12,21,2,7,1,6,0,0,10,0,9,15,1,0,12,14,6,0,0,0,0,0,0,0
v,2,0,0,0,5,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
w,1,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,5,1,0,0,0,0,0,0,0
x,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y,5,0,1,2,5,0,0,0,0,0,0,5,0,1,0,0,0,4,7,1,0,0,0,0,0,0,0
z,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
